Author,Birth Year,Death Year,Display Name
"Agricola, Georg",1494.0,1555.0,Agricola
"Ambrose, Saint, Bishop of Milan",,397.0,Ambrose
"Aquinas, Saint",,1274.0,Aquinas
Aristophanes,-450.0,-388.0,Aristophanes
Aristotle,-384.0,-322.0,Aristotle
"Atkinson, William Walker",1862.0,1932.0,Atkinson
"Augustine, Saint, Bishop of Hippo",354.0,430.0,Saint Augustine
"Aurelius, Emperor of Rome",121.0,180.0,Emperor Aurelius
"Austen, Jane",1775.0,1817.0,Jane Austen
Avicenna,980.0,1037.0,Avicenna
"Bacon, Francis",1561.0,1626.0,Francis Bacon
Bahá'u'lláh,1817.0,1892.0,Bahá'u'lláh
"Barrow, Isaac",1630.0,1677.0,Isaac Barrow
Beauvoir,1908.0,1986.0,Simone de Beauvoir
"Bentham, Jeremy",1748.0,1832.0,Jeremy Bentham
"Bergson, Henri",1859.0,1941.0,Henri Bergson
"Berkeley, George",1685.0,1753.0,George Berkeley
"Blavatsky, H. P. (Helena Petrovna)",1831.0,1891.0,Helena Petrovna Blavatsky
Boethius,480.0,524.0,Boethius
"Boole, Mary Everest",1832.0,1916.0,Mary Everest Boole
"Bosanquet, Bernard",1848.0,1923.0,Bernard Bosanquet
"Boyle, Robert",1627.0,1691.0,Robert Boyle
"Brentano, Franz",1838.0,1917.0,Franz Brentano
"Buchanan, James",1804.0,1870.0,James Buchanan
"Bunyan, John",1628.0,1688.0,John Bunyan
"Camus, Jean-Pierre",1584.0,1652.0,Jean-Pierre Camus
"Carlyle, Thomas",1795.0,1881.0,Thomas Carlyle
"Carnegie, Andrew",1835.0,1919.0,Andrew Carnegie
"Churchill, Winston",1871.0,1947.0,Winston Churchill
"Cicero, Marcus Tullius",-106.0,-43.0,Cicero
"Cole, Lawrence Thomas",1869.0,,Lawrence Thomas Cole
"Coleridge, Samuel Taylor",1772.0,1834.0,Samuel Taylor Coleridge
Confucius,-551.0,-479.0,Confucius
"Croce, Benedetto",1866.0,1952.0,Benedetto Croce
Dante Alighieri,1265.0,1321.0,Dante Alighieri
"Darwin, Charles",1809.0,1882.0,Charles Darwin
"Descartes, René",1596.0,1650.0,René Descartes
"Dewey, John",1859.0,1952.0,John Dewey
"Dickens, Charles",1812.0,1870.0,Charles Dickens
Diogenes Laertius,-412.0,-323,Diogenes Laertius
"Dionysius, of Alexandria, Saint",,265.0,Saint Dionysius of Alexandria
"Dostoyevsky, Fyodor",1821.0,1881.0,Fyodor Dostoyevsky
Douglass,1818.0,1895.0,Frederick Douglass
"Döllinger, Johann Joseph Ignaz von",1799.0,1890.0,Johann Joseph Ignaz von Döllinger
"Einstein, Albert",1879.0,1955.0,Albert Einstein
"Emerson, Ralph Waldo",1803.0,1882.0,Ralph Waldo Emerson
Epictetus,55.0,135.0,Epictetus
"Erasmus, Desiderius",1469.0,1536.0,Desiderius Erasmus
Euclid,-325.0,-265.0,Euclid
Euripides,,-406.0,Euripides
"Faraday, Michael",1791.0,1867.0,Michael Faraday
"Ferri, Enrico",1856.0,1929.0,Enrico Ferri
"Fitzgerald, F. Scott (Francis Scott)",1896.0,1940.0,F. Scott Fitzgerald
"Fletcher, Horace",1849.0,1919.0,Horace Fletcher
"Franklin, Benjamin",1706.0,1790.0,Benjamin Franklin
"Frazer, James George",1854.0,1941.0,James George Frazer
Frege,1848.0,1925.0,Frege
"Freud, Sigmund",1856.0,1939.0,Sigmund Freud
"Frothingham, Octavius Brooks",1822.0,1895.0,Octavius Brooks Frothingham
"Gandhi, Mahatma",1869.0,1948.0,Mahatma Gandhi
"Giovanni, da Parma",,1289.0,Giovanni da Parma
"Gladden, Washington",1836.0,1918.0,Washington Gladden
"Goethe, Johann Wolfgang von",1749.0,1832.0,Johann Wolfgang von Goethe
"Grimm, Jacob",1785.0,1863.0,Jacob Grimm
"Grote, George",1794.0,1871.0,George Grote
Gödel,1906.0,1978.0,Kurt Gödel
"Haeckel, Ernst",1834.0,1919.0,Ernst Haeckel
"Halévy, Daniel",1872.0,1962.0,Daniel Halévy
"Harnack, Adolf von",1851.0,1930.0,Adolf von Harnack
"Harrington, James",1611.0,1677.0,James Harrington
"Hegel, Georg Wilhelm Friedrich",1770.0,1831.0,Georg Wilhelm Friedrich Hegel
"Herbart, Johann Friedrich",1776.0,1841.0,Johann Friedrich Herbart
"Herschel, John F. W. (John Frederick William)",1792.0,1871.0,John Frederick William Herschel
"Hervey, Walter Lowrie",1862.0,1952.0,Walter Lowrie Hervey
"Hesse, Hermann",1877.0,1962.0,Hermann Hesse
"Hippolytus, Antipope",,235.0,Antipope Hippolytus
"Hobbes, Thomas",1588.0,1679.0,Thomas Hobbes
"Holbach, Paul Henri Thiry, baron d'",1723.0,1789.0,Paul Henri Thiry
Homer,-750.0,-650.0,Homer
"Hume, David",1711.0,1776.0,David Hume
Husserl,1859.0,1938.0,Edmund Husserl
"Huxley, Thomas Henry",1825.0,1895.0,Thomas Henry Huxley
"Hügel, Friedrich, Freiherr von",1852.0,1925.0,Friedrich von Hügel
Iamblichus,245.0,325.0,Iamblichus
"James, William",1842.0,1910.0,William James
"Jefferson, Thomas",1743.0,1826.0,Thomas Jefferson
"Jowett, John Henry",1864.0,1923.0,John Henry Jowett
"Jung, C. G. (Carl Gustav)",1875.0,1961.0,Carl Gustav Jung
"Kafka, Franz",1883.0,1924.0,Franz Kafka
"Kant, Immanuel",1724.0,1804.0,Immanuel Kant
"Keller, Helen",1880.0,1968.0,Helen Keller
"Laplace, Pierre Simon, marquis de",1749.0,1827.0,Pierre Simon
"Leibniz, Gottfried Wilhelm, Freiherr von",1646.0,1716.0,Gottfried Wilhelm Leibniz
"Liebig, Justus, Freiherr von",1803.0,1873.0,Justus Liebig
"Lincoln, Abraham",1809.0,1865.0,Abraham Lincoln
"Livingstone, W. P. (William Pringle)",1864.0,1950.0,William Pringle Livingstone
"Locke, John",1632.0,1704.0,John Locke
"Lucian, of Samosata",120.0,180.0,Lucian of Samosata
"Lucretius Carus, Titus",-95.0,-55.0,Titus Lucretius Carus
Luther,1483.0,1546.0,Martin Luther
"Mach, Ernst",1838.0,1916.0,Ernst Mach
