Author,Birth Year,Death Year
"Aaberg, J. C. (Jens Christian)",1877.0,1970.0
"Abercrombie, John",1780.0,1844.0
"Abhedananda, Swami",1866.0,1939.0
"Abrahams, Israel",1858.0,1925.0
"Accum, Friedrich Christian",1769.0,1838.0
"Ackland, T. S. (Thomas Suter)",1817.0,1892.0
"Acton, John Emerich Edward Dalberg Acton, Baron",1834.0,1902.0
"Addams, Jane",1860.0,1935.0
"Adeney, Walter F. (Walter Frederic)",1849.0,1920.0
"Adlam, George Henry Joseph",1876.0,1946.0
"Aelfric, Abbot of Eynsham",950.0,1019.0
Aesop,,
"Agricola, Georg",1494.0,1555.0
"Ainsworth, Percy C. (Percy Clough)",1873.0,1909.0
"Alderson, Edward Hall, Sir",1787.0,1857.0
"Aldini, Giovanni",1762.0,1834.0
"Alger, William Rounseville",1822.0,1905.0
"Allbutt, T. Clifford (Thomas Clifford)",1836.0,1925.0
"Amberley, John Russell, viscount",1842.0,1876.0
"Ambrose, Saint, Bishop of Milan",,397.0
"Annet, Peter",1693.0,1769.0
"Antin, Mary",1881.0,1949.0
"Aquinas, Saint",,1274.0
"Arbuthnot, John",1667.0,1735.0
Aristophanes,-450.0,-388.0
Aristotle,-384.0,-322.0
"Armstrong, John",1709.0,1779.0
"Arnot, William",1808.0,1875.0
Aryasura,,
"Asbury, Herbert",1891.0,1963.0
"Asimov, Isaac",1920.0,1992.0
"Aston, W. G. (William George)",1841.0,1911.0
"Atkins, Gaius Glenn",1868.0,1956.0
"Atkinson, William Walker",1862.0,1932.0
"Atwater, John Birdseye",1855.0,1921.0
"Aubrey, John",1626.0,1697.0
"Auchincloss, W. S. (William Stuart)",1842.0,1928.0
"Augustine, Saint, Bishop of Hippo",354.0,430.0
"Aurelius, Emperor of Rome",121.0,180.0
"Austen, Jane",1775.0,1817.0
"Austin, John Mather",1805.0,1880.0
Averroës,1126.0,1198.0
"Aveson, Robert",1847.0,1939.0
Avicenna,980.0,1037.0
"Bab, ʻAli Muhammad Shirazi",1819.0,1850.0
"Babbage, Charles",1791.0,1871.0
"Babbitt, Irving",1865.0,1933.0
"Bacon, Francis",1561.0,1626.0
"Baden-Powell, B. H. (Baden Henry)",1841.0,1901.0
"Bagehot, Walter",1826.0,1877.0
"Baggally, W. W. (William Wortley)",,1928.0
Bahá'u'lláh,1817.0,1892.0
"Baird, Samuel J. (Samuel John)",1817.0,1893.0
"Bakunin, Mikhail Aleksandrovich",1814.0,1876.0
"Balfour, Arthur James",1848.0,1930.0
"Balmes, Jaime Luciano",1810.0,1848.0
"Balzac, Honoré de",1799.0,1850.0
"Barclay, Robert",1648.0,1690.0
"Baring-Gould, S. (Sabine)",1834.0,1924.0
"Barlow, George",,
"Barnes, Albert",1798.0,1870.0
"Barnett, Lionel D. (Lionel David)",1871.0,1960.0
"Barrett, Robert Emmett",1872.0,1949.0
"Barrie, J. M. (James Matthew)",1860.0,1937.0
"Barrow, Isaac",1630.0,1677.0
"Bartlett, George Willard",1857.0,
"Barton, William E. (William Eleazar)",1861.0,1930.0
"Bastiat, Frédéric",1801.0,1850.0
"Baudelaire, Charles",1821.0,1867.0
"Baughan, Rosa",,
"Beames, John",1837.0,1902.0
"Beardslee, Clark S. (Clark Smith)",1850.0,1914.0
Beauvoir,1908.0,1986.0
"Beaven, James",1801.0,1875.0
"Beeks, James C.",,
"Beers, Henry A. (Henry Augustin)",1847.0,1926.0
"Begbie, Harold",1871.0,1929.0
"Beibitz, J. H. (Joseph Hugh)",1868.0,1936.0
"Bellamy, Edward",1850.0,1898.0
"Benn, Alfred William",1843.0,1915.0
"Bennion, Adam S. (Adam Samuel)",1886.0,1958.0
"Bentham, Jeremy",1748.0,1832.0
"Bentwich, Norman",1883.0,1971.0
"Berens, E. M.",,
"Bergson, Henri",1859.0,1941.0
"Beringer, C. (Cornelius)",,
"Berkeley, George",1685.0,1753.0
"Berners, Juliana",,
"Bernstein, Aaron",1841.0,1912.0
"Berrick, F. H. (Francis H.)",1823.0,1897.0
"Besnier, Pierre",1648.0,1705.0
"Betson, Thomas",,
"Bevan, E. J. (Edward John)",1856.0,1921.0
"Beveridge, Albert J. (Albert Jeremiah)",1862.0,1927.0
"Beyer, H. Otley (Henry Otley)",1883.0,1966.0
"Bierce, Ambrose",1842.0,1913.0
"Bigandet, Paul Ambroise",1813.0,1894.0
"Binning, Hugh",1627.0,1653.0
"Björklund, Gustaf",1846.0,1903.0
"Blackford, Katherine M. H. (Katherine Melvina Huntsinger)",1875.0,1916.0
"Blaikie, William Garden",1820.0,1899.0
"Blake, William",1757.0,1827.0
"Blatchford, Robert",1851.0,1943.0
"Blavatsky, H. P. (Helena Petrovna)",1831.0,1891.0
"Bledsoe, Albert Taylor",1809.0,1877.0
"Bloomfield, Maurice",1855.0,1928.0
"Blount, James H. (James Henderson)",1869.0,1918.0
"Blyth, Alexander Wynter",1844.0,1921.0
"Boccaccio, Giovanni",1313.0,1375.0
"Boer, T. J. de (Tjitze J.)",1866.0,1942.0
"Boerhaave, Herman",1668.0,1738.0
Boethius,480.0,524.0
"Bok, Edward William",1863.0,1930.0
"Bolas, Bernard D. (Bernard Dell)",1893.0,
"Bonar, Andrew A. (Andrew Alexander)",1810.0,1892.0
"Bonnell, Jerry T.",,
"Boole, Mary Everest",1832.0,1916.0
"Boreham, Frank",1871.0,1959.0
"Bosanquet, Bernard",1848.0,1923.0
"Boudreaux, F. J.",1821.0,1894.0
"Bousfield, Paul",1880.0,1957.0
"Bowring, John",1792.0,1872.0
"Boykin, Anne",1944.0,
"Boyle, Robert",1627.0,1691.0
"Bradbury, Ray",1920.0,2012.0
"Bradford, Amory H. (Amory Howe)",1846.0,1911.0
"Bradlaugh, Charles",1833.0,1891.0
"Bragdon, Claude Fayette",1866.0,1946.0
"Braithwaite, William C. (William Charles)",1862.0,1922.0
"Brengle, Samuel Logan",1860.0,1936.0
"Brentano, Franz",1838.0,1917.0
"Brewer, George",1766.0,
"Bridgman, P. W. (Percy Williams)",1882.0,1961.0
"Brinton, Daniel G. (Daniel Garrison)",1837.0,1899.0
"Broadus, John Albert",1827.0,1895.0
"Bronson-Howard, George",1884.0,1922.0
"Brownlie, John",1857.0,1925.0
"Brownson, Orestes Augustus",1803.0,1876.0
